魅族Note8全面屏手机4GB+64GB焰红全网通,1298.00,1.1万+
Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,6799.00,115万+
荣耀9i 4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1199.00,106万+
小米8 全面屏游戏智能手机 6GB+64GB 黑色 全网通4G 双卡双待,2299.00,82万+
一加手机6T 8GB+128GB 墨岩黑 光感屏幕指纹 全面屏双摄游戏手机 全网通4G 双卡双待,3599.00,7.3万+
荣耀 V10 全网通高配版 6GB+64GB 幻夜黑 移动联通电信4G全面屏游戏手机 双卡双待,1999.00,102万+
荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1399.00,63万+
Apple iPhone XS Max (A2104) 256GB 深空灰色 移动联通电信4G手机 双卡双待,10999.00,23万+
魅族 16 X 全面屏游戏手机 6GB+128GB 砚墨黑 全网通移动联通电信4G手机 双卡双待,2398.00,8.2万+
荣耀10 GT游戏加速 AIS手持夜景 6GB+64GB 幻影蓝全网通 移动联通电信4G 双卡双待 游戏手机,2199.00,90万+
Apple iPhone XR (A2108) 128GB 黑色 移动联通电信4G手机 双卡双待,6999.00,25万+
华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏手机 6GB+64GB 极光色 全网通移动联通电信4G手机 双卡双待,3388.00,51万+
vivo X23 8GB+128GB 幻夜蓝 水滴屏全面屏 游戏手机 移动联通电信全网通4G手机,3498.00,6.7万+
华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB亮黑色全网通版双4G手机,4499.00,8.3万+
vivo Z3 6GB+64GB 极光蓝 性能实力派 全面屏游戏手机 移动联通电信全网通4G手机,1798.00,11万+
Apple iPhone 8 (A1863) 64GB 深空灰色 移动联通电信4G手机,4599.00,113万+
小米8青春版 镜面渐变AI双摄 6GB+64GB 梦幻蓝 全网通4G 双卡双待 全面屏拍照游戏智能手机,1549.00,14万+
小米Mix3  6GB+128GB黑色  骁龙845 全网通4G 双卡双待 全面屏拍照游戏智能手机,3299.00,4.1万+
vivo Z1极光特别版 新一代全面屏AI双摄手机 4GB+64GB  移动联通电信全网通4G手机,1298.00,43万+
小米 红米Note5 全网通版 6GB+128GB 黑色 移动联通电信4G手机 双卡双待,1299.00,64万+
黑鲨游戏手机 Helo 双液冷 更能打 8GB+128GB 极夜黑 全网通4G 双卡双待,3499.00,2万+
小米MIX2S 全面屏游戏手机 6GB+128GB 黑色 全网通4G 陶瓷手机,2699.00,18万+
Apple iPhone 8 Plus (A1864) 64GB 深空灰色 移动联通电信4G手机,5499.00,153万+
锤子（smartisan ) 坚果 Pro 2S 6G+64GB 炫光蓝 全面屏双摄 全网通4G手机 双卡双待 游戏手机,1497.00,11万+
小米6X 全网通 4GB+64GB 曜石黑 移动联通电信4G手机 双卡双待 智能手机 拍照手机,1299.00,64万+
荣耀Play 全网通版 6GB+64GB 幻夜黑 移动联通电信4G全面屏游戏手机 双卡双待,1999.00,37万+
360手机 N7 Pro 全网通 6GB+64GB 玛瑙黑 移动联通电信4G手机 双卡双待 全面屏 游戏手机,1299.00,7.8万+
小米 红米6 Pro AI美颜双摄 4GB+32GB 曜石黑 全网通4G手机 双卡双待,929.00,37万+
小米 红米6A AI美颜 3GB+32GB 流沙金 全网通4G手机 双卡双待,649.00,54万+
一加手机6 8GB+128GB 亮瓷黑 全面屏双摄游戏手机 全网通4G 双卡双待,2998.00,43万+
小米 红米6 4GB+64GB 流沙金 全网通4G手机 双卡双待,799.00,47万+
OPPO K1 光感屏幕指纹 水滴屏拍照手机 6G+64G 墨玉黑 全网通 移动联通电信4G 双卡双待手机,1799.00,14万+
荣耀畅玩7C 全面屏手机 全网通标配版 3GB+32GB 铂光金 移动联通电信4G手机 双卡双待,799.00,76万+
vivo X23全息幻彩版 6GB+128GB 北极晨曦 水滴屏全面屏 游戏手机 移动联通电信全网通4G手机,2798.00,1.4万+
荣耀畅玩8C两天一充 莱茵护眼 超清刘海屏 全网通版4GB+32GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,999.00,6.4万+
华为 HUAWEI 畅享9 Plus 4GB+64GB 幻夜黑 全网通 四摄超清全面屏大电池 移动联通电信4G手机 双卡双待,1399.00,7.5万+
小米8青春版 镜面渐变AI双摄 6GB+64GB 深空灰 全网通4G 双卡双待 全面屏拍照游戏智能手机,1549.00,14万+
荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1399.00,2万+
360手机 N7 Lite 全网通 4GB+32GB 幻影黑 移动联通电信4G手机 双卡双待 全面屏 游戏手机,899.00,5.8万+
小米Max2 大屏手机 4GB+64GB 金色 全网通4G手机 双卡双待,1099.00,38万+
魅族 15 全面屏手机 全网通公开版 4GB+64GB 砚黑 移动联通电信4G手机 双卡双待,1498.00,2.7万+
Apple iPhone 6s Plus (A1699) 128G 玫瑰金色 移动联通电信4G手机,3399.00,79万+
华为 HUAWEI nova 3全面屏高清四摄游戏手机 6GB+128GB 亮黑色 全网通移动联通电信4G手机 双卡双待,2799.00,17万+
荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏手机 双卡双待 游戏手机,2699.00,8.8万+
荣耀 畅玩7 2GB+16GB 金色 全网通4G手机 双卡双待,599.00,33万+
Apple iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机,8699.00,9.9万+
黑鲨游戏手机 8GB+128GB 极夜黑 液冷更快 全网通4G 双卡双待,2599.00,12万+
荣耀Magic2 麒麟980AI智能芯片 超广角AI三摄 6GB+128GB 渐变黑 移动联通电信4G手机 双卡双待,3799.00,4.3万+
荣耀8X Max 7.12英寸90%屏占比珍珠屏 4GB+64GB 魅海蓝 移动联通电信4G全面屏手机 双卡双待,1499.00,12万+
小米8SE 全面屏智能游戏拍照手机 6GB+64GB 灰色 骁龙处理器 全网通4G 双卡双待,1699.00,50万+
